Date,Open,High,Low,Close,Adj Close,Volume,Day
10/24/2022,13.47,13.91,13.23,13.9,13.9,10128100,176
10/25/2022,13.97,15.035,13.9,14.81,14.81,14506500,177
10/26/2022,14.69,15.155,14.4,14.76,14.76,9423500,178
10/27/2022,14.75,15.035,14.44,14.63,14.63,7604900,179
10/28/2022,14.55,14.765,14.085,14.52,14.52,10749000,180
10/31/2022,14.53,15.025,14.325,14.64,14.64,11140000,181
11/1/2022,15.96,16.4,15.12,15.15,15.15,20388000,182
11/2/2022,14.98,15.26,13.975,14,14,12427800,183
11/3/2022,13.78,14.215,13.43,13.72,13.72,14173900,184
11/4/2022,13.98,14.15,13.17,13.74,13.74,11873400,185
11/7/2022,14.12,14.255,13.2,14.14,14.14,27568700,186
11/8/2022,11.938,12.191,10.62,10.9,10.9,80955300,187
11/9/2022,10.76,11.095,10.6,10.64,10.64,28137100,188
11/10/2022,11.24,11.495,10.913,11.28,11.28,31008400,189
11/11/2022,11.19,12.79,11.14,12.7,12.7,26140500,190
11/14/2022,12.54,13.25,12.465,12.95,12.95,15062100,191
11/15/2022,13.55,13.74,13.01,13.07,13.07,16226000,192
11/16/2022,12.79,12.79,11.91,11.97,11.97,16593500,193
11/17/2022,11.71,11.725,11.27,11.35,11.35,14255600,194
11/18/2022,11.55,11.6,11.07,11.21,11.21,10511100,195
11/21/2022,11.05,11.1,10.74,11.05,11.05,15314000,196
11/22/2022,10.8,11.06,10.43,11.05,11.05,15220200,197
11/23/2022,11.02,11.39,10.72,11.31,11.31,16125500,198
11/25/2022,11.09,11.17,10.9,11.14,11.14,4981900,199
11/28/2022,10.97,11.09,10.69,10.7,10.7,10906300,200
11/29/2022,10.81,11.15,10.59,10.76,10.76,13346800,201
11/30/2022,10.72,11.25,10.48,11.22,11.22,31346900,202
12/1/2022,11.27,11.58,11.06,11.2,11.2,10777400,203
12/2/2022,10.91,11.12,10.71,11.1,11.1,10285500,204
12/5/2022,11.1,11.59,10.71,10.78,10.78,13843700,205
12/6/2022,10.78,10.959,10.305,10.41,10.41,15257600,206
12/7/2022,10.34,10.365,10.09,10.32,10.32,10740500,207
12/8/2022,10.365,10.72,10.259,10.64,10.64,10387700,208
12/9/2022,10.6,11.095,10.44,10.95,10.95,12491300,209
12/12/2022,10.9,11.55,10.75,11.51,11.51,20538100,210
12/13/2022,12.085,12.54,11.56,11.6,11.6,18781500,211
12/14/2022,11.66,12.14,11.485,11.89,11.89,13563300,212
12/15/2022,11.6,11.77,11.23,11.35,11.35,12223500,213
12/16/2022,11.25,11.475,10.98,11.09,11.09,20147300,214
12/19/2022,11.11,11.15,10.255,10.32,10.32,12151600,215
12/20/2022,10.25,10.47,10.15,10.36,10.36,10131200,216
12/21/2022,10.59,10.71,10.39,10.48,10.48,9699500,217
12/22/2022,10.33,10.36,9.835,10.1,10.1,12757300,218
12/23/2022,10.07,10.23,9.83,10.21,10.21,7836700,219
12/27/2022,10.05,10.09,9.72,9.87,9.87,9661200,220
12/28/2022,9.84,10.25,9.66,10.12,10.12,9531300,221
